basin_id,sum(msi_paras)
06914000,0.625223
05506800,0.646165
08HD011,0.586553
03105500,0.676643
03208500,0.690017
12424000,0.599047
08026000,0.686734
11242000,0.458728
03461500,0.690241
03036500,0.660967
02294898,0.663457
05315000,0.592648
07179730,0.610934
02312300,0.684807
06316400,0.600798
04086600,0.634381
07144200,0.610610
02YN002,0.585835
03140500,0.681597
02456500,0.682289
02129000,0.696261
10020100,0.516905
12415140,0.543816
02363000,0.662829
05212700,0.603872
07189000,0.655763
02240000,0.682885
01512500,0.652366
06470878,0.594193
08NE039,0.553889
05PH003,0.591177
07056700,0.653845
13206000,0.479102
01036390,0.613964
04178000,0.644165
01614000,0.650109
13055000,0.528711
06866500,0.633199
14038530,0.527036
08036500,0.651643
02374700,0.676772
06607500,0.618418
02313000,0.681888
09301500,0.517660
01351500,0.632462
05585830,0.644812
07179500,0.609037
04112500,0.648293
08049500,0.620403
02313230,0.682464
02163001,0.682881
02311500,0.683335
05536290,0.655158
01EF001,0.620467
13331450,0.515158
09505800,0.540386
09514100,0.608920
13135000,0.573232
09504000,0.554266
06305700,0.580803
07281600,0.680338
01081000,0.615128
12334550,0.574551
02366500,0.685312
01AP002,0.618965
05582000,0.662316
02EA005,0.610881
13269000,0.585848
04027500,0.621016
07AC007,0.601746
01421000,0.632013
03331753,0.662262
07346045,0.638176
03310300,0.683117
02446500,0.681040
05458500,0.622971
12354000,0.521161
05LJ007,0.585897
01144000,0.611475
06442900,0.591226
07180200,0.606644
10322500,0.527444
06884200,0.604511
11134000,0.412407
12301300,0.543320
08173900,0.624723
03369500,0.670780
01049205,0.612060
09504500,0.540765
02414715,0.696706
05270700,0.615873
06186500,0.468195
04235440,0.657535
08JB003,0.587642
01674500,0.670859
01172010,0.628828
02319000,0.679116
07268000,0.663375
05592100,0.670786
05472500,0.636116
07152000,0.616283
03363900,0.668820
14087400,0.571693
12413470,0.541863
09418700,0.536889
01104200,0.638978
01541303,0.657309
03438220,0.713924
05516500,0.663874
06FA001,0.529891
12395500,0.557690
03NF001,0.525957
02026000,0.680144
05586100,0.682787
02YL008,0.580544
08015500,0.677650
06274300,0.590379
08LB069,0.548237
06754000,0.628050
09303000,0.477765
03336000,0.677534
03402900,0.685981
01046500,0.603593
06661585,0.569992
02YC001,0.581371
02075500,0.679179
03455000,0.700702
04230500,0.657420
05UF004,0.535798
05LJ005,0.574909
06606600,0.611421
01545000,0.636455
05514500,0.654565
07MA003,0.567339
07376000,0.679670
10136500,0.542892
01183500,0.627077
10310407,0.476534
11149900,0.445866
12451000,0.464424
13345000,0.569505
02130980,0.682099
03603000,0.696793
11066460,0.446156
01371500,0.647030
05471500,0.633680
08106500,0.633561
10155300,0.508104
05385000,0.621207
05416900,0.621582
07052345,0.642527
08180700,0.596728
06425100,0.623853
13027500,0.511761
05556500,0.642232
14200000,0.625939
02169500,0.694564
01343060,0.606162
12433000,0.580438
02297310,0.661884
01559000,0.656418
06354000,0.599884
13292000,0.526184
03251500,0.697836
04097500,0.657903
11289660,0.478519
07312200,0.572658
03107500,0.678819
03409500,0.691876
06471200,0.575685
08KH019,0.589566
07AG003,0.599877
02482000,0.669848
06870200,0.634904
02LG005,0.612106
06313500,0.588998
07016500,0.663078
04155000,0.629646
09496500,0.571653
12370000,0.533598
06208500,0.598204
06019500,0.558994
07105800,0.607622
14308000,0.577635
08164390,0.628082
07337900,0.647385
13011900,0.446300
09361500,0.508541
03AB002,0.600901
02OJ024,0.632798
02489500,0.697027
05466500,0.646206
09510000,0.563679
13237920,0.472007
01155910,0.607559
08022040,0.664294
04149000,0.652352
09342500,0.511634
03146500,0.672029
01509000,0.644512
11278400,0.437683
06307616,0.611784
06464500,0.613173
03272000,0.663470
01562000,0.649724
07351750,0.654380
05487980,0.635116
02PJ007,0.620615
09447800,0.559846
05555300,0.657418
02016500,0.673611
06088500,0.590737
06279940,0.525932
03374000,0.687125
09366500,0.551030
02326900,0.664219
05421740,0.632728
11376550,0.514728
07052500,0.653648
09180000,0.583153
03612000,0.669754
10339419,0.450233
09097900,0.543495
01474500,0.660397
06921350,0.647375
02029000,0.680472
02376500,0.686358
03117000,0.672291
05060100,0.580905
11109525,0.428314
02153200,0.684957
03070000,0.662720
05OE007,0.581563
02318500,0.677841
08NL050,0.548218
08084800,0.557568
05594800,0.667721
02QB011,0.580700
08255500,0.516223
13047600,0.511780
05458900,0.617721
07065495,0.650900
06756100,0.602553
05379500,0.625372
11348500,0.540761
03280000,0.690191
08JE001,0.595041
02OB037,0.617696
06214500,0.603368
01049000,0.607765
07064533,0.658064
08KA001,0.543946
09484500,0.511696
09506000,0.561686
05412020,0.622744
01200000,0.642563
05123510,0.576805
03275600,0.661329
01420500,0.627526
13013650,0.469882
03232000,0.670860
05TE002,0.561807
08043950,0.590791
02294775,0.663502
03548500,0.687500
05433000,0.624284
06236100,0.553305
08018500,0.645338
02197500,0.698699
05UH001,0.537284
04062000,0.615922
01BP001,0.602569
05LE006,0.565944
04191500,0.669137
05062000,0.591466
03ED001,0.552614
14362000,0.508264
07195400,0.649209
06913000,0.625907
10308200,0.445593
03234000,0.677343
05502500,0.646999
06307990,0.625420
02203000,0.682501
02PA007,0.609987
13181000,0.559536
02350600,0.661368
02058400,0.666813
04201500,0.675832
03263000,0.671529
03410500,0.691399
09147500,0.539404
11468000,0.485189
04265432,0.642864
02GC002,0.652375
07EB002,0.570104
03282120,0.695852
02369000,0.675482
01420980,0.631759
13142500,0.463446
01EN002,0.621613
13141500,0.466029
02424000,0.685861
04105500,0.656626
07EE009,0.611399
01BG009,0.575410
08HB002,0.625353
11044300,0.447109
03109500,0.674089
02037500,0.684774
09285900,0.517518
02481510,0.681536
06471500,0.581319
08NC004,0.530083
06468250,0.585587
08164000,0.627350
02326000,0.666095
12365000,0.530096
03227500,0.679153
13120500,0.455974
03336645,0.653558
06225500,0.523096
07197000,0.648529
13116500,0.540311
13056500,0.533809
04114000,0.661072
11289651,0.478520
01375000,0.650423
02421000,0.672645
05333500,0.622118
09242500,0.498670
04249000,0.668814
07040450,0.684775
13249500,0.488135
01BC001,0.600383
07GD002,0.601305
09413000,0.527873
03333700,0.660973
03269500,0.666739
07183500,0.641737
07315500,0.636121
01518000,0.633630
11367500,0.474021
11123500,0.406297
01AJ010,0.611064
02411930,0.684405
08KE009,0.595088
03289500,0.684256
09085100,0.522984
07187000,0.648018
07FD011,0.561412
05362000,0.612870
13081500,0.555053
06026500,0.565879
02151500,0.682710
12334510,0.549964
06923950,0.650872
05570910,0.647681
01131500,0.616904
07061500,0.660218
04195500,0.656824
03604400,0.686990
02231600,0.688732
12389500,0.538526
07123000,0.646875
02NE011,0.608987
05311000,0.609326
10BE004,0.568156
05LE004,0.568775
10130500,0.529985
09364500,0.541612
13342500,0.548356
09306200,0.569210
03219500,0.671184
05550000,0.640339
09520500,0.606185
06803555,0.617266
04DA001,0.583492
14369500,0.534084
05504800,0.642002
02372422,0.680333
13344500,0.588836
05483600,0.615538
03575100,0.691874
06814000,0.613200
05558300,0.673880
14209500,0.541643
05355200,0.619322
06478500,0.620478
02358000,0.714545
08KA004,0.581007
11443500,0.474330
08217500,0.483109
09448500,0.596102
04213500,0.650066
05481950,0.623035
05463500,0.616414
06065500,0.587145
03287000,0.704393
08NP001,0.551430
11374000,0.519949
06352000,0.584476
