basin_id,sum(msi_paras),sum(msti_paras),sum(wsi_paras),sum(wsti_paras)
01329500,0.622959,1.696236,0.593847,1.899764
04213500,0.650066,1.674693,0.662026,1.749323
04209000,0.663527,1.648588,0.718270,1.611968
13337000,0.503452,1.839390,0.547404,2.069916
07144100,0.610118,1.656747,0.817936,1.405686
03176500,0.679265,1.601879,0.773768,1.485900
04137500,0.636135,1.677316,0.650846,1.747747
03283500,0.682520,1.588532,0.798564,1.444279
04087000,0.634345,1.674550,0.728864,1.606032
03348000,0.660957,1.623944,0.793805,1.462806
02GA038,0.630396,1.687941,0.611828,1.858014
04079000,0.625431,1.675465,0.707783,1.623162
10350000,0.467932,1.964398,0.578498,1.999711
09520500,0.606185,1.702247,0.843113,1.399354
05QE008,0.601070,1.695520,0.660308,1.708358
14163900,0.543630,1.901164,0.632237,1.944433
13116500,0.540311,1.798238,0.559183,1.954103
12323600,0.584249,1.757321,0.657786,1.765458
03331753,0.662262,1.627205,0.776268,1.492035
14092500,0.567685,1.846281,0.550390,1.978803
07335000,0.627814,1.625903,0.821535,1.396748
05261000,0.612428,1.685166,0.729020,1.564135
01606000,0.664758,1.631331,0.695943,1.652586
11475800,0.510863,1.698551,0.777023,1.415769
08220000,0.495804,1.813487,0.511782,2.036054
08019500,0.627077,1.628768,0.817565,1.393652
03053500,0.678884,1.603488,0.763306,1.533829
06AG002,0.582197,1.748556,0.654911,1.719229
06653300,0.587163,1.751173,0.700963,1.622157
14357500,0.565647,1.697798,0.730129,1.533773
03349000,0.666112,1.618203,0.791285,1.463539
06036905,0.482516,1.870578,0.542844,2.043903
09304800,0.523208,1.827423,0.508198,2.098430
06926000,0.673216,1.593850,0.816624,1.409478
06799350,0.623403,1.666314,0.805792,1.449109
03345500,0.671992,1.597998,0.801285,1.435995
03193000,0.692508,1.589251,0.768509,1.513647
03212500,0.698027,1.570603,0.803210,1.445050
01010000,0.601997,1.702874,0.576513,1.886469
03510577,0.688011,1.585250,0.766691,1.461589
08186000,0.605433,1.657501,0.813175,1.374689
09364010,0.536604,1.806034,0.526482,2.055324
09424900,0.513029,1.788062,0.820379,1.410960
03075070,0.690063,1.593507,0.746532,1.562365
08183500,0.608352,1.658365,0.815194,1.376802
07067000,0.668630,1.599398,0.801631,1.423995
10351600,0.485616,1.911806,0.588848,1.917402
03247500,0.677478,1.602600,0.789297,1.471292
04235500,0.663243,1.645806,0.726994,1.602269
12338300,0.521153,1.811870,0.511684,2.091268
05482000,0.628518,1.658501,0.770356,1.510535
02167450,0.661088,1.603825,0.815874,1.411427
02QA017,0.595283,1.713939,0.565701,1.922271
02215500,0.698728,1.569756,0.822957,1.404244
03331500,0.661718,1.627470,0.775752,1.491266
01646502,0.684516,1.598085,0.756060,1.536552
07143672,0.605676,1.663070,0.816729,1.407427
07335300,0.641747,1.613996,0.822306,1.398775
03QC001,0.552331,1.761958,0.532931,2.007690
11382000,0.463318,1.857370,0.716438,1.625584
04FC001,0.585043,1.715424,0.603659,1.842529
07155590,0.608192,1.694745,0.835445,1.414768
03340500,0.680670,1.604265,0.790313,1.468999
07GD002,0.601305,1.744434,0.593458,1.874083
07MA003,0.567339,1.761862,0.606545,1.801291
09474000,0.600919,1.699683,0.839644,1.400998
09034250,0.503884,1.808998,0.505812,2.064622
02399200,0.671899,1.592529,0.810467,1.412520
