basin_id,sum(msi_paras),sum(msti_paras),sum(wsi_paras),sum(wsti_paras)
10297500,0.378840,1.629832,0.460937,1.700985
06350000,0.466734,1.383047,0.649083,1.065425
04078500,0.495935,1.326649,0.574861,1.186948
13317000,0.430318,1.494459,0.432034,1.719982
12415140,0.454225,1.487736,0.467202,1.789357
04101500,0.528993,1.253508,0.589295,1.144771
13336500,0.428917,1.505235,0.448008,1.750483
01054500,0.489330,1.328750,0.454720,1.473584
11348500,0.438054,1.444801,0.532654,1.360391
01130000,0.487292,1.329131,0.460522,1.469051
11519500,0.403609,1.533463,0.540480,1.453629
04269000,0.508404,1.294663,0.474248,1.414565
06476000,0.493175,1.362828,0.614883,1.129991
09447800,0.442220,1.387633,0.658813,1.043199
07356000,0.507857,1.193270,0.610225,0.992103
14120000,0.445580,1.557487,0.554551,1.691624
10020300,0.420548,1.500971,0.414684,1.630338
05DC011,0.476599,1.432075,0.426007,1.581813
13183000,0.463256,1.414348,0.479958,1.475709
03197000,0.547568,1.194345,0.605765,1.116942
10CD001,0.463580,1.423951,0.455638,1.446192
03436100,0.532820,1.196887,0.624039,1.018647
06307616,0.494514,1.348297,0.603691,1.169801
05517530,0.531334,1.238508,0.606048,1.095936
06803513,0.492757,1.295123,0.637416,1.045774
08099300,0.458994,1.312750,0.628506,0.996178
06227600,0.442523,1.490165,0.431399,1.603291
08041500,0.517972,1.208652,0.614209,0.977639
02489000,0.548097,1.182773,0.624877,1.000315
07247000,0.507544,1.200760,0.611856,0.992839
05127000,0.492679,1.355025,0.541659,1.260917
05469000,0.516641,1.250210,0.613027,1.087170
10132000,0.439535,1.465229,0.416489,1.652787
02029000,0.540188,1.218189,0.611404,1.105579
07083710,0.409269,1.527195,0.407481,1.686278
07096500,0.483393,1.374120,0.617445,1.170583
06411500,0.494609,1.352965,0.604824,1.170932
09444000,0.458948,1.401025,0.610096,1.215465
09489500,0.459111,1.446874,0.548900,1.435513
01351500,0.497928,1.301851,0.514872,1.345826
07074420,0.538264,1.199562,0.619563,1.024487
12422500,0.469953,1.461600,0.458842,1.799112
04KA001,0.483975,1.373081,0.454783,1.439592
01545000,0.502597,1.292300,0.513932,1.334821
10324500,0.432911,1.434147,0.524707,1.391156
03094000,0.537283,1.237106,0.599489,1.131984
03272100,0.534128,1.220779,0.619945,1.077255
09474000,0.476211,1.349118,0.663987,1.036510
08NA002,0.444062,1.467821,0.413615,1.723359
07069305,0.514262,1.213202,0.615607,1.012473
13171620,0.471645,1.425611,0.404892,1.617130
05481300,0.501989,1.312958,0.602725,1.125398
02411930,0.540870,1.190883,0.624378,1.013090
07134100,0.481858,1.342503,0.667752,1.056143
06214500,0.490601,1.400901,0.432212,1.575243
04AD002,0.462031,1.431986,0.463044,1.409024
04101800,0.514498,1.265834,0.574285,1.157278
08012150,0.535215,1.193331,0.616363,0.988498
03238500,0.532936,1.216392,0.611426,1.085283
08171000,0.466983,1.291671,0.617503,0.981484
06639000,0.458658,1.433572,0.565649,1.250812
03303000,0.533716,1.202697,0.620833,1.029582
04252500,0.495263,1.306846,0.465797,1.484860
06316400,0.482010,1.348331,0.625699,1.116220
06355500,0.474785,1.359698,0.637467,1.079609
11517000,0.413692,1.537080,0.557113,1.483971
12338300,0.430750,1.496537,0.422860,1.733500
06701500,0.454553,1.468199,0.472151,1.507343
04071765,0.503060,1.322980,0.543434,1.266613
04192500,0.531903,1.242656,0.614901,1.110462
13314300,0.404687,1.554198,0.448959,1.777121
01595500,0.523995,1.262252,0.530244,1.306316
09070500,0.429684,1.491917,0.408338,1.713353
01AJ010,0.488775,1.320960,0.457176,1.537252
02455500,0.533703,1.190013,0.622539,1.001162
07362500,0.510941,1.205498,0.613096,0.994183
02337170,0.546595,1.181215,0.622769,1.008973
07172000,0.481978,1.265850,0.626732,1.006122
04195500,0.520881,1.245000,0.620857,1.083056
09349800,0.432881,1.475495,0.431513,1.649997
10109000,0.399264,1.538955,0.465718,1.710483
05524500,0.515663,1.251430,0.606940,1.089789
11192501,0.368211,1.592762,0.529120,1.554822
09041400,0.432312,1.480273,0.418349,1.664963
