basin_id,sum(fast_paras),sum(xSSA_sobol_indexes["paras"]["msi"]["Q"])
03328500,0.618606,0.665921
03266000,0.619358,0.663468
05AH050,-9999.000000,0.585241
02118000,0.649815,0.678072
04FC001,-9999.000000,0.585043
03015500,0.735521,0.653173
04269000,0.749273,0.638551
06483500,0.533194,0.603902
12447383,0.744605,0.444242
05051300,0.509041,0.598389
02RH049,-9999.000000,0.592669
08GD004,-9999.000000,0.527819
05429500,0.588286,0.619839
04086600,0.599624,0.634381
01563200,0.699353,0.651788
07069305,0.653459,0.656023
03282120,0.687427,0.695852
02469761,0.659310,0.707611
02479000,0.646556,0.691106
02197500,0.646338,0.698699
07211500,0.451345,0.633053
10322500,0.620081,0.527444
07099400,0.504576,0.598082
07GG001,-9999.000000,0.608110
02013100,0.700692,0.669565
07335790,0.645400,0.658724
02443500,0.674804,0.669801
06659502,0.719071,0.530593
01421000,0.749443,0.632013
03524000,0.671229,0.689505
09511300,0.539372,0.564407
08JB003,-9999.000000,0.587642
01608500,0.697952,0.680690
02KJ007,-9999.000000,0.618223
06099000,0.544879,0.608541
10155300,0.732995,0.508104
06307616,0.500147,0.611784
02096960,0.630802,0.676308
02425000,0.651849,0.687081
07047950,0.620755,0.663586
05368000,0.589721,0.613313
04101000,0.617932,0.662406
05267000,0.572450,0.612921
12398600,0.726110,0.557826
02163500,0.668359,0.685600
07165750,0.528810,0.614345
07301420,0.429292,0.564360
07028960,0.649946,0.663917
04103010,0.632191,0.650771
07DA008,-9999.000000,0.585346
09490500,0.628804,0.578188
08211500,0.412919,0.622162
09050700,0.752849,0.484545
05KG002,-9999.000000,0.573886
05057200,0.483814,0.575697
07264000,0.623907,0.653728
01154500,0.749306,0.624343
07052345,0.631989,0.642527
01085500,0.753070,0.625062
05430500,0.585871,0.632427
06450500,0.444288,0.618368
01619500,0.664801,0.662159
03161000,0.708142,0.664475
11463000,0.722274,0.486327
13316500,0.749239,0.504208
03232000,0.620871,0.670860
04124000,0.688248,0.635104
07BK001,-9999.000000,0.595516
09315000,0.545749,0.575572
03081000,0.720256,0.666622
08KD001,-9999.000000,0.573477
09470000,0.468006,0.600004
07074000,0.659858,0.654322
05429700,0.587209,0.620668
06463500,0.418671,0.609906
01034000,0.760535,0.601841
06806500,0.543040,0.614447
05389000,0.602696,0.615078
02313230,0.485597,0.682464
02339500,0.657930,0.702952
08091500,0.528309,0.589060
05569500,0.599031,0.654693
11502500,0.736118,0.540437
05470500,0.567090,0.625579
13046995,0.757265,0.496340
01048000,0.758366,0.605920
08185500,0.523404,0.602359
01017000,0.759784,0.612920
08188800,0.515245,0.642412
07260500,0.650730,0.654540
02465000,0.664113,0.699034
05LH005,-9999.000000,0.584807
05410490,0.618734,0.630400
06349000,0.460019,0.593323
08144600,0.413933,0.597218
05DC011,-9999.000000,0.577340
06468250,0.486086,0.585587
08EE004,-9999.000000,0.567696
14103000,0.676404,0.583981
06441500,0.465312,0.604663
02147020,0.646956,0.697420
05527500,0.608223,0.670718
06077200,0.600345,0.599177
02129000,0.641158,0.696261
06FB002,-9999.000000,0.519270
06930000,0.658353,0.655656
06601200,0.465160,0.669462
11325500,0.714945,0.479947
07GG003,-9999.000000,0.604430
07191500,0.581493,0.670314
04150500,0.632459,0.651882
11390500,0.719701,0.539720
05427085,0.584171,0.631692
11481000,0.741942,0.530800
13273000,0.738539,0.541974
06353000,0.431077,0.595382
14033500,0.642508,0.594143
07096250,0.480543,0.570606
12413860,0.751005,0.560169
06696000,0.512776,0.551326
14377100,0.742493,0.540047
04237500,0.687500,0.671640
08210000,0.411742,0.620193
06439000,0.465848,0.588992
08NL024,-9999.000000,0.566577
05520500,0.618316,0.670174
01388500,0.725461,0.638082
01402000,0.665766,0.653444
06305700,0.637212,0.580803
10141000,0.715864,0.543861
06AG001,-9999.000000,0.590496
06926000,0.600476,0.673216
06478513,0.497490,0.621713
02LD005,-9999.000000,0.622497
03KC004,-9999.000000,0.537190
05017500,0.763223,0.518746
03282000,0.688101,0.694932
03AC004,-9999.000000,0.612621
03129000,0.651537,0.682328
01367500,0.739089,0.636824
11475800,0.734839,0.510863
14137000,0.739553,0.562023
01198125,0.742528,0.634015
01334500,0.745283,0.628715
04149000,0.618898,0.652352
08143600,0.478623,0.590260
05583000,0.593679,0.668564
02357000,0.589933,0.665908
05568000,0.607903,0.659959
12331800,0.628495,0.585410
14369500,0.747531,0.534084
05GG010,-9999.000000,0.568467
07049000,0.669402,0.645795
12113000,0.747837,0.630079
03467000,0.648826,0.700803
06930060,0.659036,0.659391
01161000,0.750843,0.615637
03176500,0.676546,0.679265
03345500,0.611534,0.671992
03362500,0.622126,0.667381
07AG004,-9999.000000,0.610703
12099200,0.713613,0.553941
07FB002,-9999.000000,0.599534
13042500,0.756346,0.492573
02207220,0.636142,0.673459
06054500,0.635250,0.578592
06259000,0.515079,0.574398
03341500,0.614402,0.682451
04193500,0.611345,0.668402
03097550,0.663301,0.677344
13237920,0.751965,0.472007
14120000,0.731811,0.537823
06FC001,-9999.000000,0.530315
02240000,0.444079,0.682885
11123500,0.705217,0.406297
02323592,0.564950,0.704392
03353611,0.612626,0.674032
11266500,0.712740,0.430100
11152050,0.717871,0.454894
05BH009,-9999.000000,0.600566
06120500,0.555484,0.603708
13063000,0.750454,0.533448
13041010,0.759493,0.480141
06089000,0.559055,0.587068
09180000,0.616360,0.583153
11109375,0.716102,0.424546
02312600,0.497571,0.681758
05525000,0.598695,0.652587
06917560,0.587607,0.630903
04155500,0.630217,0.628893
07EA005,-9999.000000,0.570308
07185765,0.613495,0.646845
08153500,0.506156,0.591670
06917060,0.584055,0.632806
09520500,0.430766,0.606185
09406000,0.608396,0.568116
01112500,0.733888,0.639372
04077400,0.659550,0.618734
04199500,0.654132,0.670247
07363000,0.662315,0.667191
10339419,0.701407,0.450233
04155000,0.631469,0.629646
011230695,0.742832,0.637905
06442900,0.502904,0.591226
06048700,0.687882,0.597565
04066003,0.669660,0.623671
01350180,0.750714,0.622591
13047500,0.757071,0.503163
05059700,0.498711,0.581251
12465000,0.632204,0.578622
11177000,0.664217,0.471316
06803500,0.497022,0.617044
03202000,0.672391,0.676480
13057940,0.723035,0.544496
01568000,0.712316,0.643700
06919500,0.619584,0.646893
05340500,0.600291,0.623653
02173051,0.590145,0.681088
12301300,0.756022,0.543320
10020100,0.672923,0.516905
11370500,0.726774,0.525669
02173030,0.590940,0.678748
08GA071,-9999.000000,0.530679
11046000,0.633280,0.448201
06024450,0.732287,0.508921
07260673,0.656406,0.656772
11289650,0.720298,0.478520
04065722,0.671727,0.622448
03150000,0.656551,0.685329
06786000,0.411552,0.622247
01010500,0.761765,0.600798
09489000,0.357658,0.550619
06876900,0.463606,0.624044
08220000,0.708658,0.495804
06479010,0.495361,0.610642
06868200,0.443532,0.612383
02QA017,-9999.000000,0.595283
03409500,0.702013,0.691876
09211200,0.642343,0.511425
11157500,0.676773,0.444974
05094000,0.543275,0.586547
14310000,0.753524,0.574718
06425100,0.543632,0.623853
07094500,0.540805,0.552574
09349800,0.697934,0.527982
02YJ001,-9999.000000,0.600346
02372250,0.624425,0.667869
03065000,0.744855,0.659414
07242380,0.514656,0.607518
11276600,0.718782,0.443148
09060770,0.726998,0.521167
13351000,0.679447,0.606985
05436500,0.609000,0.625023
12353000,0.699288,0.557325
14194150,0.737691,0.615846
07061500,0.673424,0.660218
05064000,0.551278,0.587006
03335000,0.623965,0.666298
09112500,0.746978,0.485837
07147070,0.517202,0.603595
02OJ024,-9999.000000,0.632798
08164450,0.567667,0.637498
02404400,0.671523,0.680537
06630000,0.668909,0.560185
04136500,0.681245,0.633340
10217000,0.608500,0.567654
10321940,0.607115,0.522182
02042500,0.632646,0.666356
13038500,0.751585,0.495859
01034500,0.758514,0.612143
02336490,0.668845,0.688212
01BG009,-9999.000000,0.575410
12150800,0.737361,0.596817
06476000,0.502142,0.609669
09304115,0.763901,0.485013
08KC003,-9999.000000,0.603617
06866500,0.409260,0.633199
05316580,0.518564,0.613575
11367800,0.748682,0.476285
04228500,0.708302,0.657786
03364000,0.631642,0.671670
03424730,0.697698,0.679609
02312500,0.499810,0.681512
05379500,0.613178,0.625372
08070000,0.598869,0.644466
05OC016,-9999.000000,0.576618
02231000,0.565904,0.663190
03070500,0.721779,0.682657
05463000,0.565300,0.612415
13052200,0.753510,0.516621
01400500,0.691415,0.648066
09279150,0.701060,0.496544
02326900,0.565723,0.664219
02236125,0.477780,0.709685
06040800,0.728621,0.525403
13258500,0.746093,0.510269
10130500,0.722149,0.529985
05LD001,-9999.000000,0.566532
09402000,0.406666,0.612236
06191000,0.747296,0.514734
01570500,0.715798,0.667119
02133624,0.598821,0.675767
02091814,0.607823,0.694623
06807410,0.547709,0.627098
13141000,0.736144,0.455523
06114700,0.511078,0.629547
03214500,0.682779,0.692147
06200000,0.721574,0.578172
08HA010,-9999.000000,0.627390
04262500,0.761962,0.641356
07ED003,-9999.000000,0.578793
02217770,0.656301,0.676822
08NH119,-9999.000000,0.502434
08EB004,-9999.000000,0.579405
02354500,0.602074,0.665621
06426500,0.425662,0.600957
02105500,0.622064,0.691605
08103800,0.491513,0.594810
01173500,0.740266,0.625499
04263000,0.747574,0.649082
11303000,0.711741,0.481186
08268700,0.526734,0.564982
03041500,0.713960,0.665572
05517530,0.623304,0.668329
05471000,0.563074,0.622539
08099300,0.472773,0.580619
09418700,0.560774,0.536889
07247015,0.653846,0.650303
08EB005,-9999.000000,0.552975
03421000,0.696421,0.693186
01030500,0.759665,0.612678
11446500,0.721935,0.504266
04114498,0.611204,0.647462
07037500,0.672875,0.667686
07GH002,-9999.000000,0.610620
04199000,0.634390,0.666730
07171600,0.531414,0.608630
04183000,0.614738,0.666259
07123000,0.441984,0.646875
04DB001,-9999.000000,0.568419
02223056,0.644248,0.688778
02231600,0.465429,0.688732
09486500,0.396823,0.550255
05464220,0.577466,0.620704
03568000,0.691249,0.718112
01531000,0.713952,0.652136
14231900,0.710118,0.519870
05484500,0.549049,0.624214
06709530,0.484760,0.603244
11070365,0.636321,0.449189
06714215,0.528262,0.601786
03281000,0.703021,0.690779
06309000,0.497798,0.638314
04181500,0.603018,0.669520
08219500,0.752776,0.508524
03102850,0.693911,0.657481
04108660,0.643151,0.656098
02OG026,-9999.000000,0.630570
14321000,0.750705,0.594427
01541200,0.717246,0.658697
01632000,0.680345,0.664434
05579500,0.590895,0.650583
06610000,0.466563,0.669991
04CA003,-9999.000000,0.587408
06600100,0.524140,0.600278
11469000,0.733215,0.524629
08084800,0.425898,0.557568
03201902,0.678999,0.665926
06065500,0.618639,0.587145
05129115,0.611574,0.608438
06447000,0.446789,0.628717
0212433550,0.625731,0.669173
09172500,0.748263,0.518950
11278400,0.715361,0.437683
14097100,0.738967,0.570910
13286700,0.707744,0.553197
06918070,0.572324,0.650815
14087400,0.643853,0.571693
10308200,0.735378,0.445593
03282290,0.687471,0.697564
09132500,0.750236,0.539270
08070200,0.599996,0.644480
06432020,0.678449,0.612118
05247500,0.544310,0.603723
05378500,0.566628,0.636977
13277000,0.731458,0.533616
05UH001,-9999.000000,0.537284
06350000,0.413905,0.581683
11444500,0.721872,0.474287
02226500,0.571667,0.670305
08067650,0.573151,0.641690
04064500,0.666552,0.618240
06052500,0.668132,0.574544
06810000,0.552110,0.635108
03010500,0.737110,0.645067
07030050,0.662258,0.686335
04DC001,-9999.000000,0.576591
07JF002,-9999.000000,0.560196
02QB011,-9999.000000,0.580700
06235500,0.582252,0.539510
02423496,0.652791,0.672653
02492000,0.641932,0.676455
02196484,0.655388,0.693656
08064100,0.557452,0.610194
03465500,0.709585,0.690743
02369600,0.616393,0.685875
06482610,0.534678,0.586621
03139000,0.648157,0.665976
05MH007,-9999.000000,0.570093
02146000,0.653996,0.696185
06892000,0.565362,0.636694
08164390,0.564426,0.628082
03432400,0.664503,0.677538
07146830,0.529233,0.610786
07328100,0.482985,0.614483
06412500,0.633731,0.611324
03070000,0.738287,0.662720
09147025,0.730167,0.534911
06888000,0.537594,0.611827
06653300,0.534768,0.587163
07372200,0.658709,0.679727
02456500,0.665137,0.682289
01066000,0.753596,0.612160
03329000,0.611189,0.673975
06869500,0.455272,0.616298
01092000,0.746641,0.626883
03057000,0.720188,0.681844
05592100,0.602436,0.670786
01357500,0.735103,0.645542
04148500,0.618887,0.651582
06928430,0.665496,0.660046
06423500,0.442155,0.635143
05487470,0.574103,0.633596
04200500,0.655319,0.673657
08ND012,-9999.000000,0.514272
06921070,0.621483,0.647840
02044500,0.657981,0.656299
08041749,0.616038,0.662991
04056500,0.686700,0.625654
02PL007,-9999.000000,0.622952
11303500,0.654261,0.511512
11526250,0.743031,0.493278
08246500,0.740232,0.490319
02395000,0.673754,0.687780
