lon ; lat 
  nan; nan 
 -85.31598825; 40.03825425 
 -85.31594846; 40.03852031 
 -85.31559599; 40.03849027 
 -85.31555620; 40.03875633 
 -85.31520373; 40.03872629 
 -85.31516393; 40.03899235 
 -85.31512413; 40.03925841 
 -85.31477167; 40.03922837 
 -85.31473187; 40.03949443 
 -85.31469207; 40.03976049 
 -85.31465227; 40.04002655 
 -85.31429980; 40.03999651 
 -85.31426000; 40.04026257 
 -85.31422019; 40.04052863 
 -85.31386772; 40.04049859 
 -85.31382792; 40.04076465 
 -85.31347544; 40.04073460 
 -85.31343564; 40.04100066 
 -85.31308316; 40.04097062 
 -85.31273068; 40.04094057 
 -85.31237821; 40.04091052 
 -85.31202573; 40.04088047 
 -85.31167325; 40.04085042 
 -85.31163344; 40.04111648 
 -85.31128097; 40.04108643 
 -85.31092849; 40.04105638 
 -85.31057601; 40.04102633 
 -85.31022354; 40.04099627 
 -85.30987106; 40.04096622 
 -85.30951858; 40.04093616 
 -85.30947877; 40.04120222 
 -85.30912629; 40.04117216 
 -85.30877381; 40.04114211 
 -85.30873399; 40.04140817 
 -85.30838151; 40.04137811 
 -85.30834169; 40.04164416 
 -85.30830187; 40.04191022 
 -85.30794939; 40.04188016 
 -85.30790956; 40.04214622 
 -85.30755708; 40.04211616 
 -85.30751725; 40.04238222 
 -85.30747743; 40.04264828 
 -85.30743760; 40.04291434 
 -85.30739777; 40.04318039 
 -85.30735794; 40.04344645 
 -85.30731812; 40.04371251 
 -85.30727829; 40.04397857 
 -85.30723846; 40.04424463 
 -85.30688597; 40.04421456 
 -85.30684614; 40.04448062 
 -85.30719863; 40.04451069 
 -85.30715880; 40.04477674 
 -85.30711897; 40.04504280 
 -85.30676648; 40.04501274 
 -85.30672664; 40.04527880 
 -85.30637415; 40.04524873 
 -85.30633432; 40.04551479 
 -85.30598182; 40.04548473 
 -85.30594198; 40.04575078 
 -85.30590215; 40.04601684 
 -85.30554965; 40.04598678 
 -85.30550981; 40.04625283 
 -85.30546998; 40.04651889 
 -85.30511748; 40.04648882 
 -85.30507764; 40.04675488 
 -85.30503780; 40.04702094 
 -85.30499796; 40.04728700 
 -85.30464546; 40.04725693 
 -85.30460562; 40.04752299 
 -85.30456577; 40.04778905 
 -85.30452593; 40.04805510 
 -85.30417343; 40.04802503 
 -85.30413358; 40.04829109 
 -85.30409374; 40.04855715 
 -85.30405390; 40.04882321 
 -85.30401405; 40.04908926 
 -85.30397421; 40.04935532 
 -85.30362169; 40.04932525 
 -85.30358185; 40.04959131 
 -85.30354200; 40.04985737 
 -85.30318949; 40.04982729 
 -85.30314964; 40.05009335 
 -85.30279712; 40.05006328 
 -85.30275727; 40.05032933 
 -85.30240475; 40.05029926 
 -85.30236490; 40.05056532 
 -85.30201238; 40.05053524 
 -85.30197253; 40.05080130 
 -85.30162001; 40.05077122 
 -85.30126749; 40.05074114 
 -85.30122764; 40.05100720 
 -85.30087512; 40.05097712 
 -85.30052259; 40.05094704 
 -85.30048274; 40.05121309 
 -85.30013021; 40.05118301 
 -85.29977769; 40.05115293 
 -85.29973783; 40.05141898 
 -85.29938531; 40.05138890 
 -85.29934545; 40.05165496 
 -85.29899292; 40.05162487 
 -85.29864040; 40.05159478 
 -85.29860053; 40.05186084 
 -85.29824801; 40.05183075 
 -85.29820814; 40.05209681 
 -85.29785562; 40.05206672 
 -85.29781575; 40.05233278 
 -85.29777588; 40.05259884 
 -85.29773601; 40.05286489 
 -85.29738348; 40.05283480 
 -85.29734361; 40.05310086 
 -85.29699108; 40.05307077 
 -85.29695121; 40.05333682 
 -85.29691134; 40.05360288 
 -85.29687147; 40.05386894 
 -85.29651893; 40.05383884 
 -85.29655881; 40.05357279 
 -85.29659868; 40.05330673 
 -85.29624615; 40.05327664 
 -85.29628602; 40.05301058 
 -85.29632590; 40.05274453 
 -85.29597337; 40.05271443 
 -85.29601325; 40.05244838 
 -85.29605312; 40.05218232 
 -85.29570060; 40.05215222 
 -85.29574047; 40.05188617 
 -85.29538795; 40.05185607 
 -85.29542783; 40.05159002 
